id,name,city,municipality,postal_code
bosques-de-la-ca├▒ada-517,BOSQUES DE LA CA├æADA,Puebla,Puebla,
bosques-de-los-angeles-310,BOSQUES DE LOS ANGELES,Puebla,Puebla,
bosques-de-los-heroes-puebla-959,BOSQUES DE LOS HEROES PUEBLA,Puebla,Puebla,
bosques-del-pedregal-1520,BOSQUES DEL PEDREGAL,Puebla,Puebla,
bosques-del-pilar-1164,BOSQUES DEL PILAR,Puebla,Puebla,
bosques-de-manzanilla-300,BOSQUES DE MANZANILLA,Puebla,Puebla,
bosques-de-san-sebastian-1722,BOSQUES DE SAN SEBASTIAN,Puebla,Puebla,
bosques-de-santa-anita-302,BOSQUES DE SANTA ANITA,Puebla,Puebla,
bosques-de-zavaleta-1676,BOSQUES DE ZAVALETA,Puebla,Puebla,
bosques-morillotla-1352,BOSQUES MORILLOTLA,Puebla,Puebla,
bosques-reserva-1158,BOSQUES RESERVA,Puebla,Puebla,
britania-la-calera-1527,BRITANIA LA CALERA,Puebla,Puebla,
buap-1193,BUAP,Puebla,Puebla,
buena-vista-350,BUENA VISTA,Puebla,Puebla,
buena-vista-apartments-1397,BUENA VISTA APARTMENTS,Puebla,Puebla,
buenos-aires-1254,BUENOS AIRES,Puebla,Puebla,
buenos-aires-250,BUENOS AIRES,Puebla,Puebla,
bugambilias-381,BUGAMBILIAS,Puebla,Puebla,
bugambilias-1400,BUGAMBILIAS,Puebla,Puebla,
bugambilias-738,BUGAMBILIAS,Puebla,Puebla,
bugambilias-1605,BUGAMBILIAS,Puebla,Puebla,
bugambilias-323,BUGAMBILIAS,Puebla,Puebla,
caba├▒as-del-lago-455,CABA├æAS DEL LAGO,Puebla,Puebla,
caba├▒as-de-santa-maria-521,CABA├æAS DE SANTA MARIA,Puebla,Puebla,
cabo-real-1723,CABO REAL,Puebla,Puebla,
cachanillas-751,CACHANILLAS,Puebla,Puebla,
callejon-de-la-concepcion-1402,CALLEJON DE LA CONCEPCION,Puebla,Puebla,
calpulli-sur-1679,CALPULLI SUR,Puebla,Puebla,
camino-real-1339,CAMINO REAL,Puebla,Puebla,
camino-real-132,CAMINO REAL,Puebla,Puebla,
campestre-covadonga-237,CAMPESTRE COVADONGA,Puebla,Puebla,
campestre-del-bosque-11,CAMPESTRE DEL BOSQUE,Puebla,Puebla,
campestre-del-lago-1629,CAMPESTRE DEL LAGO,Puebla,Puebla,
campestre-del-valle-877,CAMPESTRE DEL VALLE,Puebla,Puebla,
campestre-mayorazgo-409,CAMPESTRE MAYORAZGO,Puebla,Puebla,
campestre-morillotla-1368,CAMPESTRE MORILLOTLA,Puebla,Puebla,
campestre-rancho-colorado-1508,CAMPESTRE RANCHO COLORADO,Puebla,Puebla,
campestre-san-isidro-965,CAMPESTRE SAN ISIDRO,Puebla,Puebla,
campestre-san-rafael-1505,CAMPESTRE SAN RAFAEL,Puebla,Puebla,
carlota-o-punta-cipreses-1473,CARLOTA O PUNTA CIPRESES,Puebla,Puebla,
carmen-huexotitla-71,CARMEN HUEXOTITLA,Puebla,Puebla,
carmen-patrimonio-388,CARMEN PATRIMONIO,Puebla,Puebla,
carmen-serdan-1767,CARMEN SERDAN,Puebla,Puebla,
casas-alba-966,CASAS ALBA,Puebla,Puebla,
casa-viva-828-1297,CASA VIVA 828,Puebla,Puebla,
caserio-san-francisco-1419,CASERIO SAN FRANCISCO,Puebla,Puebla,
castillotla-1521,CASTILLOTLA,Puebla,Puebla,
catania-rdcial-1728,CATANIA RDCIAL,Puebla,Puebla,
cedros-634,CEDROS,Puebla,Puebla,
cencalli-1204,CENCALLI,Puebla,Puebla,
central-de-abasto-187,CENTRAL DE ABASTO,Puebla,Puebla,
centro-1256,CENTRO,Puebla,Puebla,
centro-497,CENTRO,Puebla,Puebla,
centro-historico-125,CENTRO HISTORICO,Puebla,Puebla,
cerrada-cipreses-546,CERRADA CIPRESES,Puebla,Puebla,
cerrada-los-caballos-1235,CERRADA LOS CABALLOS,Puebla,Puebla,
cerrada-san-antonio-893,CERRADA SAN ANTONIO,Puebla,Puebla,
cerritos-798,CERRITOS,Puebla,Puebla,
cerro-amalucan-1172,CERRO AMALUCAN,Puebla,Puebla,
cerro-bosque-663,CERRO BOSQUE,Puebla,Puebla,
cerro-bosque-1094,CERRO BOSQUE,Puebla,Puebla,
cerro-del-marquez-309,CERRO DEL MARQUEZ,Puebla,Puebla,
chachapa-1176,CHACHAPA,Puebla,Puebla,
chapulco-o-san-jose-chapulco-1267,CHAPULCO O SAN JOSE CHAPULCO,Puebla,Puebla,
chapultepec-706,CHAPULTEPEC,Puebla,Puebla,
cholula-1731,CHOLULA,Puebla,Puebla,
chula-vista-346,CHULA VISTA,Puebla,Puebla,
chula-vista-1471,CHULA VISTA,Puebla,Puebla,
cima-1396,CIMA,Puebla,Puebla,
cinco-de-mayo-256,CINCO DE MAYO,Puebla,Puebla,
cipres1809-luxury-towers-1540,CIPRES1809 LUXURY TOWERS,Puebla,Puebla,
cipreses-901,CIPRESES,Puebla,Puebla,
cipreses-atzala-1055,CIPRESES ATZALA,Puebla,Puebla,
cipreses-de-mayorazgo-802,CIPRESES DE MAYORAZGO,Puebla,Puebla,
